Nome,Categoria,Endereço,Telefone,Email,Website,Origem
Lisbon Personal Trainer - Ruben Pinto,Fitness,"Lisbon Personal Trainer VivaGym, R. Alexandre Herculano 2, 1150-006 Lisboa, Portugal",919 622 055,N/A (Google não fornece e-mail diretamente),https://www.personaltrainerlisbon.com/,Google Places API
Anatomy Training Studio,Fitness,"R. Lúcio de Azevedo 25 A, 1600-145 Lisboa, Portugal",965 473 333,N/A (Google não fornece e-mail diretamente),http://www.anatomytraining.net/,Google Places API
FBW - Full Body Workout,Fitness,"Largo da Memória 3, 1300-011 Lisboa, Portugal",926 734 810,N/A (Google não fornece e-mail diretamente),https://fbw.pt/,Google Places API
Personal Training Studio,Fitness,"R. das Galés 17A, 1990-612 Lisboa, Portugal",916 810 027,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
"PT do Bairro Restelo - Pilates, Treino Personalizado, SPA e Clínica",Fitness,"R. Tristão Vaz 31A, 1400-350 Lisboa, Portugal",910 409 173,N/A (Google não fornece e-mail diretamente),https://www.ptdobairro.pt/restelo,Google Places API
PTLAB - Personal Training Studio,Fitness,"R. Q.ta da Formiga 13B, 1495-170 Algés, Portugal",917 707 739,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Evolution Health Studio | Restelo Fitness Ginásio,Fitness,"Rua Dom Jorge da Costa Nº10D, 1400-414 Lisboa, Portugal",969 296 702,N/A (Google não fornece e-mail diretamente),http://www.evolutionlisbon.pt/,Google Places API
EvoTone gym,Fitness,"R. Campo de Ourique 22, 1250-041 Lisboa, Portugal",934 597 510,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Tiago Carvalho - Personal Trainer,Fitness,"Alameda dos Oceanos 94, 1990-160 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://m.facebook.com/pt.tiagocarvalho/,Google Places API
Ricardo Saudade e Silva - Personal Trainer,Fitness,"Av. Miguel Bombarda 131A, 1050-128 Lisboa, Portugal",918 303 227,N/A (Google não fornece e-mail diretamente),https://www.ptricardosaudadesilva.com/,Google Places API
BTM Training Studio,Fitness,"R. António Pedro 29, 1150-014 Lisboa, Portugal",912 950 982,N/A (Google não fornece e-mail diretamente),http://www.facebook.com/btmtrainingstudio,Google Places API
Duarte Personal Training,Fitness,"R. do Patrocínio 63A, 1350-229 Lisboa, Portugal",918 800 801,N/A (Google não fornece e-mail diretamente),http://duarte.studio/,Google Places API
Personal Trainer - Francisco Burguette,Fitness,"R. João Dias 6 5 B, 1400-200 Lisboa, Portugal",962 517 810,N/A (Google não fornece e-mail diretamente),https://www.letslift.com.pt/,Google Places API
Personal Trainer Diogo Barbosa,Fitness,"Rua General Morais Sarmento - Antigo Laboratório de Investigação Veterinária Crossfit Move On primeiro pavilhão do lado direito, 1500-311 Lisboa, Portugal",966 158 634,N/A (Google não fornece e-mail diretamente),http://www.ptdiogobarbosa.pt/,Google Places API
Fitness Coach Jaime Ramos,Fitness,"Alameda dos Oceanos, 1990-238 Lisboa, Portugal",913 541 406,N/A (Google não fornece e-mail diretamente),https://www.facebook.com/profile.php?id=100046664719989,Google Places API
Estúdio de treinamento personalizado - Daniele Almeida,Fitness,"R. João Frederico Ludovice 26, 1500-356 Lisboa, Portugal",964 723 074,N/A (Google não fornece e-mail diretamente),https://www.instagram.com/personal_danielealmeida_asma/profilecard/?igsh=c2NmOHA0NW56Z3c5,Google Places API
Personal Trainer - Fausto Veríssimo,Fitness,"R. Alexandre Herculano 2, 1150-006 Lisboa, Portugal",918 981 471,N/A (Google não fornece e-mail diretamente),https://www.instagram.com/faustoverissimopt/?hl=pt,Google Places API
Clínica Médica Internacional de Lisboa,Medicina,"R. Castilho 39 9º A, 1250-068 Lisboa, Portugal",21 351 3310,N/A (Google não fornece e-mail diretamente),https://www.cmil.pt/,Google Places API
Medical One - Centro Clínico,Medicina,"R. Adriano Correia de Oliveira 6, 1600-312 Lisboa, Portugal",21 195 0001,N/A (Google não fornece e-mail diretamente),https://www.medicalone.pt/,Google Places API
CLIVIP - Clínica Médica,Medicina,"R. Tierno Galvan Torre 3 Piso 6, Sala 606, 1070-274 Lisboa, Portugal",21 387 3782,N/A (Google não fornece e-mail diretamente),http://www.clivip.pt/,Google Places API
Clínica Mirai Lisboa,Medicina,"Av. Praia da Vitória 12B, 1000-245 Lisboa, Portugal",937 447 415,N/A (Google não fornece e-mail diretamente),http://www.clinicamirai.pt/,Google Places API
Alegria Medical Centre,Medicina,"Av. da Liberdade 144 4E, 1250-146 Lisboa, Portugal",21 145 2289,N/A (Google não fornece e-mail diretamente),http://www.alegriamed.com/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB,Google Places API
Clínica ONYX - Lisboa,Medicina,"Edifício Alfacenter, Av. Columbano Bordalo Pinheiro 108 5º Andar, 1070-067 Lisboa, Portugal",21 589 5075,N/A (Google não fornece e-mail diretamente),https://clinicaonyx.com/,Google Places API
FMR (Lisboa),Medicina,"Av. Eng. Duarte Pacheco Torre 2 8º andar, sala 1, 1070-102 Lisboa, Portugal",21 191 9567,N/A (Google não fornece e-mail diretamente),http://www.clinicafmr.com/,Google Places API
MS MEDICAL INSTITUTES,Medicina,"Av. da República 43, 1050-187 Lisboa, Portugal",926 677 500,N/A (Google não fornece e-mail diretamente),https://msmedicalinstitutes.com/,Google Places API
Centro Clínico Preveris Lisboa,Medicina,"Estrada da Luz 62 C, 1600-160 Lisboa, Portugal",21 350 2300,N/A (Google não fornece e-mail diretamente),https://preveris.pt/,Google Places API
Clinica medica,Medicina,"R. da Q.ta de Santa Maria 16A, 1800-281 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
